Branch,Cutoff,Category,College,College Code,Location
CH,22869,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
CS,1254,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
CY CS,2727,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
EC,3483,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
EE,10242,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
EI,14887,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
ET,10185,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
IE,2457,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
IM,30805,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
MD,19850,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
ME,32610,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
AD,4513,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
AI,3451,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
BT,8674,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
CA CS,3526,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
CE,23332,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
CH,18145,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
CS,1075,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
CY CS,2896,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
EC,4192,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
EE,6761,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
EI,20046,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
ET,18437,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
IE,3446,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
IM,43443,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
MD,24629,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
ME,16883,2BG,M S Ramaiah Institute of Technology,E006,Bangalore
AD,2036,3AG,M S Ramaiah Institute of Technology,E006,Bangalore
AI,1393,3AG,M S Ramaiah Institute of Technology,E006,Bangalore
BT,9692,3AG,M S Ramaiah Institute of Technology,E006,Bangalore
